name,dept,adjustedcount,homepage,scholarid,profile_url,image_url,affiliation_from_scholar,keywords,top_papers
Mihaela van der Schaar,University of Cambridge,47.35962,https://www.vanderschaar-lab.com,DZ3S--MAAAAJ,https://scholar.google.com/citations?user=DZ3S--MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DZ3S--MAAAAJ&citpid=5,"University of Cambridge, The Alan Turing Institute",machine learning; ML for healthcare; compression and streaming; multi-user networking; game-theory,Gain: Missing data imputation using generative adversarial nets (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DZ3S--MAAAAJ&citation_for_view=DZ3S--MAAAAJ:JdL-Xu2nR38C); Time-series generative adversarial networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DZ3S--MAAAAJ&citation_for_view=DZ3S--MAAAAJ:XUAslYVNQLQC); PATE-GAN: Generating synthetic data with differential privacy guarantees (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DZ3S--MAAAAJ&citation_for_view=DZ3S--MAAAAJ:lSLsV1MU4ZUC)
Dawn Song,Univ. of California - Berkeley,47.195208,https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html,84WzBlYAAAAJ,https://scholar.google.com/citations?user=84WzBlYAAAAJ,/citations/images/avatar_scholar_128.png,"Professor of Computer Science, UC Berkeley",Computer Security and Privacy,Advances and open problems in federated learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=84WzBlYAAAAJ&citation_for_view=84WzBlYAAAAJ:hGdtkIFZdKAC); Practical techniques for searches on encrypted data (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=84WzBlYAAAAJ&citation_for_view=84WzBlYAAAAJ:hkOj_22Ku90C); Measuring massive multitask language understanding (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=84WzBlYAAAAJ&citation_for_view=84WzBlYAAAAJ:iyewoVqAXLQC)
Gregory Dudek,McGill University,47.03264,http://www.cim.mcgill.ca/~dudek,BSORuFoAAAAJ,https://scholar.google.com/citations?user=BSORuFoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BSORuFoAAAAJ&citpid=1,"Professor of Computer Science, Center for Intelligent Machines, McGill University",robotics; computer vision; artificial intelligence; recommender system; shape,Computational principles of mobile robotics (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BSORuFoAAAAJ&citation_for_view=BSORuFoAAAAJ:0nST21YUXoUC); A taxonomy for multi-agent robotics (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BSORuFoAAAAJ&citation_for_view=BSORuFoAAAAJ:u-x6o8ySG0sC); Robotic exploration as graph construction (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=BSORuFoAAAAJ&citation_for_view=BSORuFoAAAAJ:d1gkVwhDpl0C)
Rama Chellappa,Johns Hopkins University,46.81804,https://engineering.jhu.edu/ece/faculty/rama-chellappa,mZxsTCcAAAAJ,https://scholar.google.com/citations?user=mZxsTCcAAAAJ,,,,
Shree K. Nayar,Columbia University,46.69567,http://www.cs.columbia.edu/~nayar,Yj7KQmQAAAAJ,https://scholar.google.com/citations?user=Yj7KQmQAAAAJ,/citations/images/avatar_scholar_128.png,"Senior Librarian, CHRIST (Deemed to be University)",Library and Information Science; Social Science; Humanities; Management,"JOURNAL OF INDIAN LAW INSTITUTE, 2006 - 2015: A bibliometric study (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Yj7KQmQAAAAJ&citation_for_view=Yj7KQmQAAAAJ:u-x6o8ySG0sC); From Offline to Online - Four Years of Koha at Christ University (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Yj7KQmQAAAAJ&citation_for_view=Yj7KQmQAAAAJ:u5HHmVD_uO8C)"
Andrew McCallum,University of Massachusetts Amherst,46.344128,https://people.cs.umass.edu/~mccallum,yILa1y0AAAAJ,https://scholar.google.com/citations?user=yILa1y0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yILa1y0AAAAJ&citpid=2,"Distinguished Professor of Computer Science, University of Massachusetts Amherst",Machine Learning; Natural Language Processing; Artificial Intelligence; Peer Review,Conditional random fields: Probabilistic models for segmenting and labeling sequence data (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yILa1y0AAAAJ&citation_for_view=yILa1y0AAAAJ:u5HHmVD_uO8C); A comparison of event models for naive bayes text classification (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yILa1y0AAAAJ&citation_for_view=yILa1y0AAAAJ:u-x6o8ySG0sC); Energy and policy considerations for modern deep learning research (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=yILa1y0AAAAJ&citation_for_view=yILa1y0AAAAJ:cMwz8cpHLggC)
Mikkel Thorup,University of Copenhagen,46.32492,http://www.diku.dk/~mthorup,UPBuOPIAAAAJ,https://scholar.google.com/citations?user=UPBuOPIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UPBuOPIAAAAJ&citpid=2,University of Copenhagen,Algorithms and data structures,Internet traffic engineering by optimizing OSPF weights (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UPBuOPIAAAAJ&citation_for_view=UPBuOPIAAAAJ:u5HHmVD_uO8C); Approximate distance oracles (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UPBuOPIAAAAJ&citation_for_view=UPBuOPIAAAAJ:Y0pCki6q_DkC); Optimizing OSPF/IS-IS weights in a changing world (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UPBuOPIAAAAJ&citation_for_view=UPBuOPIAAAAJ:u-x6o8ySG0sC)
Antonio Torralba 0001,Massachusetts Institute of Technology,46.316734,http://web.mit.edu/torralba/www,8cxDHS4AAAAJ,https://scholar.google.com/citations?user=8cxDHS4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8cxDHS4AAAAJ&citpid=3,"Professor of Computer Science, MIT",vision; computer vision,Learning deep features for discriminative localization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8cxDHS4AAAAJ&citation_for_view=8cxDHS4AAAAJ:-mN3Mh-tlDkC); Modeling the shape of the scene: A holistic representation of the spatial envelope (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8cxDHS4AAAAJ&citation_for_view=8cxDHS4AAAAJ:vDZJ-YLwNdEC); Places: A 10 million image database for scene recognition (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=8cxDHS4AAAAJ&citation_for_view=8cxDHS4AAAAJ:DkZNVXde3BIC)
Vincent Ng 0001,University of Texas at Dallas,46.10829,http://www.hlt.utdallas.edu/~vince,4UyniXYAAAAJ,https://scholar.google.com/citations?user=4UyniXYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4UyniXYAAAAJ&citpid=36,"Professor of Computer Science, University of Texas at Dallas",Natural Language Processing; Computational Linguistics,Improving machine learning approaches to coreference resolution (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4UyniXYAAAAJ&citation_for_view=4UyniXYAAAAJ:u5HHmVD_uO8C); Automatic keyphrase extraction: A survey of the state of the art (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4UyniXYAAAAJ&citation_for_view=4UyniXYAAAAJ:a0OBvERweLwC); Supervised noun phrase coreference research: The first fifteen years (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=4UyniXYAAAAJ&citation_for_view=4UyniXYAAAAJ:_FxGoFyzp5QC)
Alberto L. Sangiovanni-Vincentelli,Univ. of California - Berkeley,45.96812,https://www2.eecs.berkeley.edu/Faculty/Homepages/sangiovanni-vicentelli.html,AhgjQ2QAAAAJ,https://scholar.google.com/citations?user=AhgjQ2QAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AhgjQ2QAAAAJ&citpid=3,"Professor of EECS, University of California, Berkeley",System design; embedded systems; design automation; verification; synthesis,Logic minimization algorithms for VLSI synthesis (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=AhgjQ2QAAAAJ&citation_for_view=AhgjQ2QAAAAJ:kQqwFFzsCTwC); SIS: A system for sequential circuit synthesis (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=AhgjQ2QAAAAJ&citation_for_view=AhgjQ2QAAAAJ:cFHS6HbyZ2cC); MIS: A multiple-level logic optimization system (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=AhgjQ2QAAAAJ&citation_for_view=AhgjQ2QAAAAJ:yD5IFk8b50cC)
Dan Boneh,Stanford University,45.563409,http://crypto.stanford.edu/~dabo,MwLqCs4AAAAJ,https://scholar.google.com/citations?user=MwLqCs4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MwLqCs4AAAAJ&citpid=2,"Professor of Computer Science, Stanford University",Cryptography; Computer Security; Computer Science Theory,Identity-based encryption from the Weil pairing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=MwLqCs4AAAAJ&citation_for_view=MwLqCs4AAAAJ:u5HHmVD_uO8C); Short signatures from the Weil pairing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=MwLqCs4AAAAJ&citation_for_view=MwLqCs4AAAAJ:u-x6o8ySG0sC); Public key encryption with keyword search (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=MwLqCs4AAAAJ&citation_for_view=MwLqCs4AAAAJ:W7OEmFMy1HYC)
William T. Freeman,Massachusetts Institute of Technology,45.308019,https://billf.mit.edu,0zZnyMEAAAAJ,https://scholar.google.com/citations?user=0zZnyMEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0zZnyMEAAAAJ&citpid=2,"Professor of Computer Science, MIT",computer vision; computational photography,LabelMe: a database and web-based tool for image annotation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0zZnyMEAAAAJ&citation_for_view=0zZnyMEAAAAJ:x21FZCSn4ZoC); First M87 event horizon telescope results. IV. Imaging the central supermassive black hole (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0zZnyMEAAAAJ&citation_for_view=0zZnyMEAAAAJ:In6cVmBjs0IC); The design and use of steerable filters (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0zZnyMEAAAAJ&citation_for_view=0zZnyMEAAAAJ:u5HHmVD_uO8C)
Jiaya Jia,HKUST,45.30654,https://cse.hkust.edu.hk/admin/people/faculty/profile/jia,XPAkzTEAAAAJ,https://scholar.google.com/citations?user=XPAkzTEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XPAkzTEAAAAJ&citpid=15,"Chair Professor, HKUST; Adjunct Prof., CUHK",Artificial Intelligence; Computer Vision; Deep Learning,Pyramid scene parsing network (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=XPAkzTEAAAAJ&citation_for_view=XPAkzTEAAAAJ:k6nH7jlkaTkC); Path aggregation network for instance segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=XPAkzTEAAAAJ&citation_for_view=XPAkzTEAAAAJ:OkrdTXRNpVkC); Point transformer (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=XPAkzTEAAAAJ&citation_for_view=XPAkzTEAAAAJ:cAWJABFkdiUC)
Masashi Sugiyama,University of Tokyo,45.202482,http://www.ms.k.u-tokyo.ac.jp/sugi,GkYIrlIAAAAJ,https://scholar.google.com/citations?user=GkYIrlIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GkYIrlIAAAAJ&citpid=3,"Director, RIKEN Center for Advanced Intelligence Project / Professor, The University of Tokyo",Machine Learning; Data Mining; Artificial Intelligence,Dataset shift in machine learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GkYIrlIAAAAJ&citation_for_view=GkYIrlIAAAAJ:b2v3RnpdjZkC); Co-teaching: Robust training of deep neural networks with extremely noisy labels (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GkYIrlIAAAAJ&citation_for_view=GkYIrlIAAAAJ:PbVfkCSoiPoC); Dimensionality reduction of multimodal labeled data by local fisher discriminant analysis. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GkYIrlIAAAAJ&citation_for_view=GkYIrlIAAAAJ:u5HHmVD_uO8C)
Graham Neubig,Carnegie Mellon University,45.17512,http://www.phontron.com,wlosgkoAAAAJ,https://scholar.google.com/citations?user=wlosgkoAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wlosgkoAAAAJ&citpid=5,"Carnegie Mellon University, All Hands AI",Natural Language Processing; Machine Learning; Artificial Intelligence,"Pre-train, prompt, and predict: A systematic survey of prompting methods in natural language processing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wlosgkoAAAAJ&citation_for_view=wlosgkoAAAAJ:52neCvzbxIwC); How can we know what language models know? (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wlosgkoAAAAJ&citation_for_view=wlosgkoAAAAJ:tFyepMjQr3wC); Are Sixteen Heads Really Better than One? (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wlosgkoAAAAJ&citation_for_view=wlosgkoAAAAJ:0qX8s2k1IRwC)"
Rafail Ostrovsky,Univ. of California - Los Angeles,45.0119,http://www.cs.ucla.edu/~rafail,UvFrX04AAAAJ,https://scholar.google.com/citations?user=UvFrX04AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UvFrX04AAAAJ&citpid=4,"Norman E. Friedman Chair in Knowledge Sciences, Distinguished Prof.  of CS & MATH",Theoretical Computer Science; Cryptography; Computer Security; Complexity Theory; Distributed Algorithms,Public key encryption with keyword search (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UvFrX04AAAAJ&citation_for_view=UvFrX04AAAAJ:u5HHmVD_uO8C); Fuzzy extractors: How to generate strong keys from biometrics and other noisy data (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UvFrX04AAAAJ&citation_for_view=UvFrX04AAAAJ:HJSXoJQnj-YC); Searchable symmetric encryption: improved definitions and efficient constructions (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=UvFrX04AAAAJ&citation_for_view=UvFrX04AAAAJ:0EnyYjriUFMC)
Chunhua Shen,Zhejiang University,44.98207,https://cshen.github.io,Ljk2BvIAAAAJ,https://scholar.google.com/citations?user=Ljk2BvIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ljk2BvIAAAAJ&citpid=8,Zhejiang University,Computer Vision; Machine Learning,FCOS: Fully Convolutional One-Stage Object Detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Ljk2BvIAAAAJ&citation_for_view=Ljk2BvIAAAAJ:dZbaGXT4iR0C); Refinenet: Multi-path refinement networks for high-resolution semantic segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Ljk2BvIAAAAJ&citation_for_view=Ljk2BvIAAAAJ:WYleWgRJor0C); Deep Learning for Anomaly Detection: A Review (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Ljk2BvIAAAAJ&citation_for_view=Ljk2BvIAAAAJ:OtrppQHxQ5wC)
Piotr Indyk,Massachusetts Institute of Technology,44.79399,https://people.csail.mit.edu/indyk,oOwNKsAAAAAJ,https://scholar.google.com/citations?user=oOwNKsAAAAAJ,/citations/images/avatar_scholar_128.png,"Professor of Electrical Engineering and Computer Science, MIT",Algorithms; Computational Geometry; Theoretical Computer Science,Approximate nearest neighbors: towards removing the curse of dimensionality (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOwNKsAAAAAJ&citation_for_view=oOwNKsAAAAAJ:u5HHmVD_uO8C); Similarity search in high dimensions via hashing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOwNKsAAAAAJ&citation_for_view=oOwNKsAAAAAJ:iKz1iSBcTNcC); Locality-sensitive hashing scheme based on p-stable distributions (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=oOwNKsAAAAAJ&citation_for_view=oOwNKsAAAAAJ:kbDB7uaqCfAC)
Shie Mannor,Technion,44.77761,http://shie.webee.eedev.technion.ac.il,q1HlbIUAAAAJ,https://scholar.google.com/citations?user=q1HlbIUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=q1HlbIUAAAAJ&citpid=2,Professor of Electrical Engineering @ Technion & Researcher @ Nvidia,Machine learning; Reinforcement learning; Learning Theory; Markov Decision Processes,A Tutorial on the Cross-Entropy Method (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=q1HlbIUAAAAJ&citation_for_view=q1HlbIUAAAAJ:b1wdh0AR-JQC); The kernel recursive least-squares algorithm (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=q1HlbIUAAAAJ&citation_for_view=q1HlbIUAAAAJ:u-x6o8ySG0sC); Action elimination and stopping conditions for the multi-armed bandit and reinforcement learning problems. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=q1HlbIUAAAAJ&citation_for_view=q1HlbIUAAAAJ:YsMSGLbcyi4C)
Hinrich Schütze,LMU Munich,44.7213,https://www.cis.uni-muenchen.de/schuetze,qIL9dWUAAAAJ,https://scholar.google.com/citations?user=qIL9dWUAAAAJ,/citations/images/avatar_scholar_128.png,University of Munich,natural language processing,Foundations of statistical natural language processing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=qIL9dWUAAAAJ&citation_for_view=qIL9dWUAAAAJ:BUYA1_V_uYcC); Automatic word sense discrimination (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=qIL9dWUAAAAJ&citation_for_view=qIL9dWUAAAAJ:d1gkVwhDpl0C); Introduction to information retrieval (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=qIL9dWUAAAAJ&citation_for_view=qIL9dWUAAAAJ:prdVHNxh-e8C)
Jean Ponce,Ecole Normale Superieure,44.271313,http://www.di.ens.fr/~ponce,vC2vywcAAAAJ,https://scholar.google.com/citations?user=vC2vywcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vC2vywcAAAAJ&citpid=4,Ecole Normale Superieure/PSL Research University,computer vision; machine learning; robotics,"Beyond bags of features: Spatial pyramid matching for recognizing natural scene categories (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vC2vywcAAAAJ&citation_for_view=vC2vywcAAAAJ:u-x6o8ySG0sC); Computer vision: A modern approach (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vC2vywcAAAAJ&citation_for_view=vC2vywcAAAAJ:YTuZlYwrTOUC); Accurate, dense, and robust multi-view stereopsis (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vC2vywcAAAAJ&citation_for_view=vC2vywcAAAAJ:9yKSN-GCB0IC)"
Mahmut T. Kandemir,Pennsylvania State University,44.233809,http://www.cse.psu.edu/~mtk2,j67v24EAAAAJ,https://scholar.google.com/citations?user=j67v24EAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=j67v24EAAAAJ&citpid=2,Pennsylvania State University,Compilers; High-Performance Computing; Storage; Architecture; Performance Evaluation,Leakage current: Moore's law meets static power (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j67v24EAAAAJ&citation_for_view=j67v24EAAAAJ:u5HHmVD_uO8C); The design and use of simplepower: a cycle-accurate energy estimation tool (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j67v24EAAAAJ&citation_for_view=j67v24EAAAAJ:u-x6o8ySG0sC); Evaluating STT-RAM as an energy-efficient main memory alternative (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j67v24EAAAAJ&citation_for_view=j67v24EAAAAJ:I858iXPj1OkC)
Nikolaos Papanikolopoulos,University of Minnesota,44.1396,http://www-users.cs.umn.edu/~npapas,wQdo-bMAAAAJ,https://scholar.google.com/citations?user=wQdo-bMAAAAJ,/citations/images/avatar_scholar_128.png,"Professor of Computer Science, University of Minnesota",Robotics; computer vision; transportation systems,Detection and classification of vehicles (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wQdo-bMAAAAJ&citation_for_view=wQdo-bMAAAAJ:4DMP91E08xMC); Multi-class active learning for image classification (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wQdo-bMAAAAJ&citation_for_view=wQdo-bMAAAAJ:GnPB-g6toBAC); Visual tracking of a moving target by a camera mounted on a robot: A combination of control and vision (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=wQdo-bMAAAAJ&citation_for_view=wQdo-bMAAAAJ:aqlVkmm33-oC)
Pietro Perona,California Institute of Technology,44.137333,https://www.vision.caltech.edu/Perona.html,j29kMCwAAAAJ,https://scholar.google.com/citations?user=j29kMCwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j29kMCwAAAAJ&citpid=7,California Institute of Technology,Computer Vision; Machine Learning; Applied Mathematics; Neuroscience; Psychology,Microsoft coco: Common objects in context (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j29kMCwAAAAJ&citation_for_view=j29kMCwAAAAJ:cwugQcE3IssC); Scale-space and edge detection using anisotropic diffusion (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j29kMCwAAAAJ&citation_for_view=j29kMCwAAAAJ:u5HHmVD_uO8C); Learning generative visual models from few training examples: An incremental bayesian approach tested on 101 object categories (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=j29kMCwAAAAJ&citation_for_view=j29kMCwAAAAJ:2osOgNQ5qMEC)
Tommi S. Jaakkola,Massachusetts Institute of Technology,44.11937,https://people.csail.mit.edu/tommi,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE,,,,
Qiang Yang 0001,HKUST,44.021054,http://www.cs.ust.hk/~qyang,6vQP4KIAAAAJ,https://scholar.google.com/citations?user=6vQP4KIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6vQP4KIAAAAJ&citpid=2,"Associate Professor of Electrical Engineering, Zhejiang University, PRC",Electrical Engineering; Smart Engery Systems; Control and Optimization; Computer Networks,Top 10 algorithms in data mining (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6vQP4KIAAAAJ&citation_for_view=6vQP4KIAAAAJ:BvAAmx3GtYsC); Towards personalized federated learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6vQP4KIAAAAJ&citation_for_view=6vQP4KIAAAAJ:6CKkhE7ag_QC); Clinical sequencing uncovers origins and evolution of Lassa virus (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6vQP4KIAAAAJ&citation_for_view=6vQP4KIAAAAJ:3Q6uvV9Pm_QC)
Francis R. Bach,Ecole Normale Superieure,44.02022,http://www.di.ens.fr/~fbach,6PJWcFEAAAAJ,https://scholar.google.com/citations?user=6PJWcFEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6PJWcFEAAAAJ&citpid=3,Inria - Ecole Normale Supérieure,Machine Learning; Optimization,Online learning for matrix factorization and sparse coding. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6PJWcFEAAAAJ&citation_for_view=6PJWcFEAAAAJ:QIV2ME_5wuYC); Online dictionary learning for sparse coding (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6PJWcFEAAAAJ&citation_for_view=6PJWcFEAAAAJ:L8Ckcad2t8MC); Kernel independent component analysis (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=6PJWcFEAAAAJ&citation_for_view=6PJWcFEAAAAJ:4TOpqqG69KYC)
Xiaojun Wan 0001,Peking University,43.97837,http://www.icst.pku.edu.cn/lcwm/wanxj,lTTeBdkAAAAJ,https://scholar.google.com/citations?user=lTTeBdkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lTTeBdkAAAAJ&citpid=5,Peking University,Natural Language Processing; Text Mining; Artificial Intelligence,Single document keyphrase extraction using neighborhood knowledge. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lTTeBdkAAAAJ&citation_for_view=lTTeBdkAAAAJ:Tyk-4Ss8FVUC); Co-training for cross-lingual sentiment classification (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lTTeBdkAAAAJ&citation_for_view=lTTeBdkAAAAJ:d1gkVwhDpl0C); Abstractive document summarization with a graph-based attentional neural model (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=lTTeBdkAAAAJ&citation_for_view=lTTeBdkAAAAJ:5awf1xo2G04C)
Jan Peters 0001,TU Darmstadt,43.953969,https://www.ias.informatik.tu-darmstadt.de/Team/JanPeters,#NAME?,https://scholar.google.com/citations?user=-kIVAcAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-kIVAcAAAAAJ&citpid=4,"Professor for Intelligent Autonomous Systems/TU Darmstadt, Dept. Head/German AI Research Center DFKI",Robot Learning; Reinforcement Learning; Machine Learning; Robotics; Biomimetic Systems,Reinforcement learning in robotics: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-kIVAcAAAAAJ&citation_for_view=-kIVAcAAAAAJ:WJVC3Jt7v1AC); A survey on policy search for robotics (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-kIVAcAAAAAJ&citation_for_view=-kIVAcAAAAAJ:HtEfBTGE9r8C); Reinforcement learning of motor skills with policy gradients (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-kIVAcAAAAAJ&citation_for_view=-kIVAcAAAAAJ:qjMakFHDy7sC)
Seth Hutchinson 0001,Georgia Institute of Technology,43.86071,https://www.cc.gatech.edu/~seth,#NAME?,https://scholar.google.com/citations?user=-JPZ21IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-JPZ21IAAAAJ&citpid=2,Northeastern University,robotics,"Robot Modeling and Control (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-JPZ21IAAAAJ&citation_for_view=-JPZ21IAAAAJ:v1_lew4L6wgC); A tutorial on visual servo control (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-JPZ21IAAAAJ&citation_for_view=-JPZ21IAAAAJ:u5HHmVD_uO8C); Principles of robot motion: theory, algorithms, and implementations. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=-JPZ21IAAAAJ&citation_for_view=-JPZ21IAAAAJ:NJ774b8OgUMC)"
Quanquan Gu,Univ. of California - Los Angeles,43.476803,http://web.cs.ucla.edu/~qgu,GU9HgNAAAAAJ,https://scholar.google.com/citations?user=GU9HgNAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GU9HgNAAAAAJ&citpid=8,"Associate Professor of Computer Science, UCLA",Statistical Machine Learning; Nonconvex Optimization; Deep Learning Theory; Reinforcement Learning; AI for Science,Active learning: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GU9HgNAAAAAJ&citation_for_view=GU9HgNAAAAAJ:ZHo1McVdvXMC); Generalized fisher score for feature selection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GU9HgNAAAAAJ&citation_for_view=GU9HgNAAAAAJ:UeHWp8X0CEIC); Personalized entity recommendation: A heterogeneous information network approach (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=GU9HgNAAAAAJ&citation_for_view=GU9HgNAAAAAJ:RHpTSmoSYBkC)
